Position;Const;Created;gender;Name;Known For;Birth Date
1;nm0000134;2014-03-09;M;Robert De Niro;Raging Bull;1943-08-17
2;nm0000197;2014-03-09;F;Jack Nicholson;Chinatown;1937-04-22
3;nm0000008;2014-03-09;M;Marlon Brando;Apocalypse Now;1924-04-03
4;nm0000243;2014-03-09;M;Denzel Washington;Fences;1954-12-28
5;nm0000031;2014-03-09;F;Katharine Hepburn;The Lion in Winter;1907-05-12
6;nm0000007;2015-08-13;M;Humphrey Bogart;Casablanca;1899-12-25
7;nm0000658;2014-03-09;F;Meryl Streep;Out of Africa;1949-06-22
8;nm0000358;2014-03-09;M;Daniel Day-Lewis;There Will Be Blood;1957-04-29
9;nm0001627;2014-03-09;M;Sidney Poitier;In the Heat of the Night;1927-02-20
10;nm0000022;2015-08-13;M;Clark Gable;It Happened One Night;1901-02-01
11;nm0000006;2014-03-09;F;Ingrid Bergman;Casablanca;1915-08-29
12;nm0000158;2014-03-09;M;Tom Hanks;Cast Away;1956-07-09
13;nm0000072;2014-03-09;F;Elizabeth Taylor;Who's Afraid of Virginia Woolf?;1932-02-27
14;nm0000012;2014-03-09;F;Bette Davis;All About Eve;1908-04-05
15;nm0000060;2015-04-03;M;Gregory Peck;To Kill a Mockingbird;1916-04-05
16;nm0000138;2014-03-09;M;Leonardo DiCaprio;Inception;1974-11-11
17;nm0000949;2014-03-09;F;Cate Blanchett;Carol;1969-05-14
18;nm0000030;2014-03-09;F;Audrey Hepburn;Breakfast at Tiffany's;1929-05-04
19;nm0000075;2014-03-09;M;Spencer Tracy;Judgment at Nuremberg;1900-04-05
20;nm0000701;2014-03-09;F;Kate Winslet;Titanic;1975-10-05
21;nm0451321;2014-03-10;M;Shah Rukh Khan;Don 2;1965-11-02
22;nm0205626;2014-03-10;F;Viola Davis;Fences;1965-08-11
23;nm0000047;2014-03-09;F;Sophia Loren;La ciociara;1934-09-20
24;nm0000026;2014-03-09;M;Cary Grant;Charade;1904-01-18
25;nm0000046;2014-03-09;F;Vivien Leigh;A Streetcar Named Desire;1913-11-05
26;nm0000054;2014-03-09;F;Marilyn Monroe;Some Like It Hot;1926-06-01
27;nm0000059;2014-03-09;M;Laurence Olivier;Sleuth;1907-05-22
28;nm0000071;2014-08-31;M;James Stewart;Anatomy of a Murder;1908-05-20
29;nm0000537;2015-08-13;M;Steve McQueen;The Great Escape;1930-03-24
30;nm0000473;2014-03-09;F;Diane Keaton;Annie Hall;1946-01-05
31;nm0000210;2014-03-09;F;Julia Roberts;Pretty Woman;1967-10-28
32;nm0000149;2014-03-09;F;Jodie Foster;The Silence of the Lambs;1962-11-19
33;nm0000023;2014-03-09;F;Judy Garland;The Wizard of Oz;1922-06-10
34;nm0000151;2015-08-13;M;Morgan Freeman;Invictus;1937-06-01
35;nm0000056;2014-03-09;M;Paul Newman;The Hustler;1925-01-26
36;nm0000020;2014-03-09;M;Henry Fonda;12 Angry Men;1905-05-16
37;nm0000366;2014-03-10;F;Catherine Deneuve;Belle de jour;1943-10-22
38;nm0000038;2015-08-13;F;Grace Kelly;Dial M for Murder;1929-11-12
