Title,Rating,Year,Month,Certificate,Runtime,Directors,Stars,Country_of_origin,top_50_director_1,top_50_director_2,top_1000_Stars_1,top_1000_Stars_2,top_1000_Stars_3,top_1000_Stars_4,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,Budget_inf,Income_inf,Profit_inf,ROI_inf
Avatar: The Way of Water,7.8,2022,12,PG-13,192.0,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",United States,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,350000000.0,2267946983.0,1917946983.0,0.8456754048381562
Guillermo del Toro's Pinocchio,7.6,2022,12,PG,117.0,"Guillermo del Toro, Mark Gustafson","Ewan McGregor, David Bradley, Gregory Mann, Burn Gorman","United States, Mexico, France",1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35000000.0,108967.0,-34891033.0,-320.1981609111015
Bullet Train,7.3,2022,8,R,127.0,David Leitch,"Brad Pitt, Joey King, Aaron Taylor Johnson, Brian Tyree Henry","Japan, United States",0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85900000.0,239268602.0,153368602.0,0.6409892510677184
The Banshees of Inisherin,7.8,2022,11,R,114.0,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Kerry Condon, Pat Shortt","Ireland, United Kingdom, United States",0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19720823.0,0.0,0.0
M3gan,6.4,2022,12,PG-13,102.0,Gerard Johnstone,"Jenna Davis, Amie Donald, Allison Williams, Violet McGraw",United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,12000000.0,171253910.0,159253910.0,0.9299286071774945
Emancipation,6.1,2022,12,R,132.0,Antoine Fuqua,"Will Smith, Ben Foster, Charmaine Bingwa, Gilbert Owuor",United States,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,120000000.0,0.0,0.0,0.0
Amsterdam,6.1,2022,10,R,134.0,David O Russell,"Christian Bale, Margot Robbie, John David Washington, Alessandro Nivola","United States, Japan",0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,80000000.0,31245810.0,-48754190.0,-1.5603432908284343
Violent Night,6.9,2022,12,R,112.0,Tommy Wirkola,"David Harbour, John Leguizamo, Beverly D Angelo, Alex Hassell","United States, Canada",0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000.0,59595460.0,39595460.0,0.6644039663424026
The Whale,7.8,2022,12,R,117.0,Darren Aronofsky,"Brendan Fraser, Sadie Sink, Ty Simpkins, Hong Chau",United States,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000.0,31104312.0,21104312.0,0.6785011672979617
The Fabelmans,7.6,2022,11,PG-13,151.0,Steven Spielberg,"Michelle Williams, Gabriel LaBelle, Paul Dano, Judd Hirsch",United States,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000.0,9500361.0,-30499639.0,-3.210366321869243
