Title,Rating,Year,Month,Runtime,Directors,Budget,Income,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Top_50_Director,Lead,Supporting,Lead_Top,Supporting_Top
Avatar: The Way of Water,7.8,2022,12,192,James Cameron,350000000.0,2267946983.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Sam Worthington, Zoe Saldana,1,0
Guillermo del Toro's Pinocchio,7.6,2022,12,117,Guillermo del Toro,35000000.0,108967.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Ewan McGregor, David Bradley,1,0
Bullet Train,7.3,2022,8,127,David Leitch,85900000.0,239268602.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Brad Pitt, Joey King,1,0
M3gan,6.4,2022,12,102,Gerard Johnstone,12000000.0,171253910.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Jenna Davis, Amie Donald,0,0
Amsterdam,6.1,2022,10,134,David O Russell,80000000.0,31245810.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Christian Bale, Margot Robbie,1,0
Violent Night,6.9,2022,12,112,Tommy Wirkola,20000000.0,59595460.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,David Harbour, John Leguizamo,0,0
The Whale,7.8,2022,12,117,Darren Aronofsky,10000000.0,31104312.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Brendan Fraser, Sadie Sink,1,0
The Fabelmans,7.6,2022,11,151,Steven Spielberg,40000000.0,9500361.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Michelle Williams, Gabriel LaBelle,1,0
The Menu,7.5,2022,11,107,Mark Mylod,35000000.0,65878071.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Ralph Fiennes, Anya Taylor Joy,1,0
Babylon,7.3,2022,12,188,Damien Chazelle,78000000.0,61851455.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Brad Pitt, Margot Robbie,1,0
X,6.6,2022,3,105,Ti West,1000000.0,14779858.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Mia Goth, Jenna Ortega,0,0
Bones and All,7.0,2022,11,131,Luca Guadagnino,16000000.0,14134907.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Timoth e Chalamet, Taylor Russell,0,0
Black Adam,6.5,2022,10,125,Jaume Collet Serra,195000000.0,391273355.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dwayne Johnson, Aldis Hodge,1,0
Black Panther: Wakanda Forever,6.8,2022,11,161,Ryan Coogler,250000000.0,791852924.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Letitia Wright, Lupita Nyong o,0,0
Glass Onion: A Knives Out Mystery,7.6,2022,12,140,Rian Johnson,40000000.0,13280000.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daniel Craig, Edward Norton,1,0
Triangle of Sadness,7.6,2022,9,147,Ruben stlund,10600000.0,17211145.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thobias Thorwid, Harris Dickinson,0,0
Everything Everywhere All at Once,8.1,2022,3,139,Daniel Kwan,25000000.0,103384361.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michelle Yeoh, Stephanie Hsu,1,0
Emily the Criminal,6.7,2022,8,97,John Patton Ford,3000000.0,2156296.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Aubrey Plaza, Theo Rossi,0,0
Don't Worry Darling,6.2,2022,9,123,Olivia Wilde,20000000.0,86709403.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Florence Pugh, Harry Styles,1,0
Pinocchio,5.1,2022,9,105,Robert Zemeckis,150000000.0,37353.0,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Joseph Gordon Levitt, Tom Hanks,0,0
