place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.235758839790487,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.155848510505534,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.991682152458058,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.983857126725505,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.953112059704875,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.940115925781418,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.932452808053807,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.846275601604969,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.811021687542347,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.788860163008742,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.766584448288508,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.747754981159284,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,The Lord of the Rings: The Two Towers,8.736700145864791,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14,Inception,8.732631258764407,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
15,The Empire Strikes Back,8.698421166328371,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.66908958465097,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,GoodFellas,8.653267343326348,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.63783208417708,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.604616913892245,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Shichinin no samurai,8.597573235147825,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.597549711916963,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.588330901151998,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Saving Private Ryan,8.579754204569223,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
24,Cidade de Deus,8.57933065626273,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
25,Interstellar,8.572113578370177,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
26,La vita è bella,8.56849844678292,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
27,The Green Mile,8.563525090250447,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28,Star Wars,8.547768408695209,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.538144593579235,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.517757157543627,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.5158748682539,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,The Pianist,8.50771246978346,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
33,Psycho,8.50621116728008,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
34,Gisaengchung,8.500102272567673,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
35,Léon,8.49266097555979,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
36,The Lion King,8.4878065174478,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.487112184080202,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.481439695064923,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Departed,8.476237855603925,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,The Prestige,8.469223174303675,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
41,Whiplash,8.469084459342609,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
42,The Usual Suspects,8.469065429102885,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
43,Casablanca,8.461331026369512,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
44,Hotaru no haka,8.456404182751127,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
45,Seppuku,8.455742159665435,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
46,The Intouchables,8.45326740901802,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
47,Modern Times,8.44659815686241,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Once Upon a Time in the West,8.440447132622209,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Nuovo Cinema Paradiso,8.435662310462714,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
50,Rear Window,8.435263554584669,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
51,Alien,8.433289059547416,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,City Lights,8.431997542720737,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Apocalypse Now,8.422763772316147,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Memento,8.41912517924266,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Django Unchained,8.409192355336213,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
56,Raiders of the Lost Ark,8.405993163376216,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
57,WALL·E,8.395380682118054,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58,The Lives of Others,8.383662650081597,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Sunset Blvd,8.378667088035447,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60,Paths of Glory,8.37134593097806,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,The Shining,8.364911915081771,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
62,The Great Dictator,8.363872215354657,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
63,Avengers: Infinity War,8.361964552982831,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
64,Witness for the Prosecution,8.359881458222393,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Aliens,8.342963366520316,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
66,Spider-Man: Into the Spider-Verse,8.338483092135496,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
67,American Beauty,8.329645481839314,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.327025228701919,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,The Dark Knight Rises,8.326002682587134,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Oldeuboi,8.320041027612335,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
71,Inglourious Basterds,8.318801285806234,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
72,Amadeus,8.316200324697736,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
