Title,Rating,Year,Month,Runtime,Budget,Income,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Top_50_Director,Lead,Supporting
Avatar: The Way of Water,7.8,2022,12,192,350000000.0,2267946983.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,910,1001
Guillermo del Toro's Pinocchio,7.6,2022,12,117,35000000.0,108967.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,713,1001
Bullet Train,7.3,2022,8,127,85900000.0,239268602.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,1001
M3gan,6.4,2022,12,102,12000000.0,171253910.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1001,1001
Amsterdam,6.1,2022,10,134,80000000.0,31245810.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,358,1001
Violent Night,6.9,2022,12,112,20000000.0,59595460.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
The Whale,7.8,2022,12,117,10000000.0,31104312.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,915,1001
The Fabelmans,7.6,2022,11,151,40000000.0,9500361.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328,1001
The Menu,7.5,2022,11,107,35000000.0,65878071.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,522,1001
Babylon,7.3,2022,12,188,78000000.0,61851455.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,120,1001
X,6.6,2022,3,105,1000000.0,14779858.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1001,1001
Bones and All,7.0,2022,11,131,16000000.0,14134907.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1001,1001
Black Adam,6.5,2022,10,125,195000000.0,391273355.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,418,1001
Black Panther: Wakanda Forever,6.8,2022,11,161,250000000.0,791852924.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Glass Onion: A Knives Out Mystery,7.6,2022,12,140,40000000.0,13280000.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,1001
Triangle of Sadness,7.6,2022,9,147,10600000.0,17211145.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
