Rating,Year,Month,Runtime,cert_G,cert_NC-17,cert_PG,cert_PG-13,cert_R,cert_TV-14,cert_TV-G,cert_TV-MA,cert_TV-PG,cert_TV-Y7,top_50_director_1,top_50_director_2,top_1000_Stars_1,top_1000_Stars_2,top_1000_Stars_3,top_1000_Stars_4,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,contient_Africa,contient_Asia,contient_Europe,contient_North America,contient_Oceania,contient_South America,Budget_inf,Income_inf,Profit_inf,ROI_inf
7.8,2022,12,192,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,350000000.0,2267946983.0,1917946983.0,0.8456754048381562
7.6,2022,12,117,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,35000000.0,108967.0,-34891033.0,-320.1981609111015
7.3,2022,8,127,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,85900000.0,239268602.0,153368602.0,0.6409892510677184
7.8,2022,11,114,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11958745.51647321,19720823.0,7762077.4835267905,0.6490712151065096
6.4,2022,12,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,12000000.0,171253910.0,159253910.0,0.9299286071774945
6.1,2022,12,132,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,120000000.0,197888545.81278116,77888545.81278116,0.6490712151065096
6.1,2022,10,134,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,80000000.0,31245810.0,-48754190.0,-1.5603432908284343
6.9,2022,12,112,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20000000.0,59595460.0,39595460.0,0.6644039663424026
7.8,2022,12,117,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10000000.0,31104312.0,21104312.0,0.6785011672979617
7.6,2022,11,151,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40000000.0,9500361.0,-30499639.0,-3.210366321869243
7.5,2022,11,107,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,35000000.0,65878071.0,30878071.0,0.468715469826067
7.3,2022,12,188,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78000000.0,61851455.0,-16148545.0,-0.26108593565017996
6.6,2022,3,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1000000.0,14779858.0,13779858.0,0.9323403513078408
7.0,2022,11,131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,16000000.0,14134907.0,-1865093.0,-0.13194943553572727
6.5,2022,10,125,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,195000000.0,391273355.0,196273355.0,0.5016271936022835
6.6,2022,11,127,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,100000000.0,164907121.51065096,64907121.51065096,0.6490712151065096
6.8,2022,11,161,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,250000000.0,791852924.0,541852924.0,0.6842848053939875
7.6,2022,12,140,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40000000.0,13280000.0,-26720000.0,-2.0120481927710845
7.6,2022,9,147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10600000.0,17211145.0,6611145.0,0.38411999898902716
8.1,2022,3,139,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25000000.0,103384361.0,78384361.0,0.7581839288052474
6.7,2022,8,97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3000000.0,2156296.0,-843704.0,-0.3912746672998512
